problema;  modelo;  ub_cmax; num_jobs;  num_maquina;  fl_inteiro;  best_bound;  funcao_objetivo;  mip_relative_gap; number_of_contraints; number_of_variables; number_of_var_values; nb_iterations; nb_nodes_processed; nb_linear_nonzeros; status; time; has_hit_limit 
ID006_M015_J015; manne; -1.0; 15; 15; False; nan; 935.0; nan; 3375; 1801; 1134; 1133; 0; 9900; optimal; 0.020885944366455078; False;  
ID006_M015_J015; manne; 1243.0; 15; 15; False; nan; 935.0; nan; 3375; 1801; 1134; 1133; 0; 9900; optimal; 0.021123886108398438; False;  
ID007_M015_J015; minla_fav; -1.0; 15; 15; True; 1180.901515151515; 1181.0; 8.339106560963416e-05; 10110; 1801; 1033; 1014219; 14825; 29445; integer optimal, tolerance; 60.34377598762512; False;  
ID007_M015_J015; minla_fav; 1181.0; 15; 15; True; 1181.0000000000005; 1181.0000000000005; 0.0; 10110; 1801; 1041; 70167; 783; 29445; integer optimal solution; 4.27790093421936; False;  
ID007_M015_J015; manne; -1.0; 15; 15; True; 1181.0; 1181.0; 0.0; 3375; 1801; 1039; 1524290; 35633; 9900; integer optimal solution; 51.30251383781433; False;  
ID007_M015_J015; manne; 1181.0; 15; 15; True; 1181.0; 1181.0; 0.0; 3375; 1801; 1038; 610509; 12334; 9900; integer optimal solution; 12.513277053833008; False;  
ID007_M015_J015; minla_fav; -1.0; 15; 15; False; nan; 963.0; nan; 10110; 1801; 1122; 2744; 0; 29445; optimal; 0.07950782775878906; False;  
ID007_M015_J015; minla_fav; 1181.0; 15; 15; False; nan; 963.0; nan; 10110; 1801; 1120; 2615; 0; 29445; optimal; 0.07784795761108398; False;  
ID007_M015_J015; manne; -1.0; 15; 15; False; nan; 963.0; nan; 3375; 1801; 967; 966; 0; 9900; optimal; 0.016885042190551758; False;  
ID007_M015_J015; manne; 1181.0; 15; 15; False; nan; 963.0; nan; 3375; 1801; 967; 966; 0; 9900; optimal; 0.016895055770874023; False;  
ID009_M015_J015; minla_fav; -1.0; 15; 15; True; 1206.0; 1206.0; 0.0; 10110; 1801; 1056; 16359632; 89027; 29445; integer optimal solution; 627.7354609966278; False;  
ID009_M015_J015; minla_fav; 1206.0; 15; 15; True; 1205.9528526148974; 1206.0; 3.909401749797529e-05; 10110; 1801; 1058; 5773877; 39224; 29445; integer optimal, tolerance; 165.06169891357422; False;  
ID009_M015_J015; manne; -1.0; 15; 15; True; 1110.8775510204082; 1205.9999999999998; 0.07887433580396659; 3375; 1801; 1058; 313739313; 1291514; 9900; time limit exceeded; 7200.007631063461; True;  
ID009_M015_J015; manne; 1206.0; 15; 15; True; 1206.0; 1206.0; 0.0; 3375; 1801; 1051; 177983445; 2097706; 9900; integer optimal solution; 2365.560515165329; False;  
ID009_M015_J015; minla_fav; -1.0; 15; 15; False; nan; 988.8829191933197; nan; 10110; 1801; 1153; 3273; 0; 29445; optimal; 0.09579801559448242; False;  
ID009_M015_J015; minla_fav; 1206.0; 15; 15; False; nan; 988.8829191933198; nan; 10110; 1801; 1148; 3301; 0; 29445; optimal; 0.09790778160095215; False;  
ID009_M015_J015; manne; -1.0; 15; 15; False; nan; 896.0; nan; 3375; 1801; 1108; 1107; 0; 9900; optimal; 0.020256996154785156; False;  
ID009_M015_J015; manne; 1206.0; 15; 15; False; nan; 896.0; nan; 3375; 1801; 1108; 1107; 0; 9900; optimal; 0.020824909210205078; False;  
